"ID","probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w5_SE_quit","SE_start_recode","age","gender","edu","coded_country_num","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
124,5,5,5,1,1,1,-3,2,2,1,6,33,0,"United States of America",1,5,"25-34","Northern America, Australia & New Zealand"
125,4,4,4,1,1,0,-2,1,5,1,6,32,0,"United Kingdom",0.666666666666667,4,"55-64","Europe"
126,4,4,4,-1,0,-2,-1,14,5,1,7,32,1,"United Kingdom",-1,4,"55-64","Europe"
127,3,3,3,2,2,2,-1,7,2,1,3,33,1,"United States of America",2,3,"25-34","Northern America, Australia & New Zealand"
128,3,3,3,2,2,1,3,9,3,2,2,33,0,"United States of America",1.66666666666667,3,"35-44","Northern America, Australia & New Zealand"
130,4,4,2,-1,1,-1,-3,1,2,1,5,33,1,"United States of America",-0.333333333333333,3.33333333333333,"25-34","Northern America, Australia & New Zealand"
131,2,1,3,1,2,2,1,2,3,2,5,33,1,"United States of America",1.66666666666667,2,"35-44","Northern America, Australia & New Zealand"
133,5,5,5,2,1,1,-3,6,5,2,5,26,0,"South Africa",1.33333333333333,5,"55-64","Africa"
140,4,4,4,0,0,-1,-3,2,3,1,5,5,0,"Canada",-0.333333333333333,4,"35-44","Northern America, Australia & New Zealand"
144,5,4,5,-1,-1,-1,0,29,4,1,5,33,0,"United States of America",-1,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
145,5,5,5,2,2,2,1,17,5,2,5,33,1,"United States of America",2,5,"55-64","Northern America, Australia & New Zealand"
148,4,3,5,0,1,0,-3,10,5,2,4,19,1,"Malaysia",0.333333333333333,4,"55-64","Eastern & South-Eastern Asia"
149,5,5,5,1,1,1,-3,50,6,2,5,26,1,"South Africa",1,5,"65-75","Africa"
154,4,3,3,-1,1,-2,-2,31,6,2,6,33,0,"United States of America",-0.666666666666667,3.33333333333333,"65-75","Northern America, Australia & New Zealand"
159,4,4,4,-2,0,-2,-3,4,6,1,2,33,0,"United States of America",-1.33333333333333,4,"65-75","Northern America, Australia & New Zealand"
164,4,3,3,1,1,0,0,3,3,1,4,10,0,"France",0.666666666666667,3.33333333333333,"35-44","Europe"
166,4,4,3,-1,-1,-2,-2,4,4,1,4,26,0,"South Africa",-1.33333333333333,3.66666666666667,"45-54","Africa"
167,5,5,5,-2,-2,-2,-2,4,3,1,2,33,0,"United States of America",-2,5,"35-44","Northern America, Australia & New Zealand"
170,3,3,4,2,2,0,0,10,5,2,3,32,0,"United Kingdom",1.33333333333333,3.33333333333333,"55-64","Europe"
171,5,5,5,0,2,0,-2,2,5,1,6,33,0,"United States of America",0.666666666666667,5,"55-64","Northern America, Australia & New Zealand"
175,5,4,5,-1,0,-2,-3,48,6,2,3,33,1,"United States of America",-1,4.66666666666667,"65-75","Northern America, Australia & New Zealand"
176,4,4,4,-1,-1,-2,1,1,2,1,5,28,1,"Thailand",-1.33333333333333,4,"25-34","Eastern & South-Eastern Asia"
178,5,5,4,1,1,1,-3,2,5,1,2,5,1,"Canada",1,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
179,4,4,2,0,1,0,0,3,2,1,5,33,0,"United States of America",0.333333333333333,3.33333333333333,"25-34","Northern America, Australia & New Zealand"
180,2,2,2,2,2,2,1,4,4,2,2,33,0,"United States of America",2,2,"45-54","Northern America, Australia & New Zealand"
181,4,3,4,0,1,1,-3,0,3,1,3,32,0,"United Kingdom",0.666666666666667,3.66666666666667,"35-44","Europe"
185,3,3,4,-1,1,-2,1,13,5,1,5,32,0,"United Kingdom",-0.666666666666667,3.33333333333333,"55-64","Europe"
190,5,5,5,2,2,1,3,7,5,1,4,26,1,"South Africa",1.66666666666667,5,"55-64","Africa"
192,5,5,5,-1,0,-1,-3,8,6,1,6,5,1,"Canada",-0.666666666666667,5,"65-75","Northern America, Australia & New Zealand"
194,5,5,5,2,2,2,-3,24,5,1,3,26,1,"South Africa",2,5,"55-64","Africa"
197,5,5,4,1,1,1,-3,4,2,2,2,26,1,"South Africa",1,4.66666666666667,"25-34","Africa"
203,5,4,5,2,2,2,0,30,4,1,4,33,0,"United States of America",2,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
206,5,4,4,2,1,1,-3,54,6,1,4,26,1,"South Africa",1.33333333333333,4.33333333333333,"65-75","Africa"
207,3,3,3,1,-1,-1,-3,2,2,1,4,33,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
208,4,4,4,1,1,1,-2,11,7,2,2,26,0,"South Africa",1,4,"75-85","Africa"
214,3,4,4,1,1,1,-2,15,3,1,5,26,1,"South Africa",1,3.66666666666667,"35-44","Africa"
215,4,4,4,0,-1,-1,-3,6,5,2,6,26,0,"South Africa",-0.666666666666667,4,"55-64","Africa"
218,4,3,4,2,2,2,1,3,4,1,2,33,1,"United States of America",2,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
219,4,3,4,0,2,0,-1,1,4,1,6,32,0,"United Kingdom",0.666666666666667,3.66666666666667,"45-54","Europe"
224,4,3,3,1,1,1,-3,5,3,2,1,33,1,"United States of America",1,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
229,4,4,4,2,2,1,-2,24,5,1,5,33,1,"United States of America",1.66666666666667,4,"55-64","Northern America, Australia & New Zealand"
231,4,4,4,-1,0,-1,-3,1,5,2,5,19,0,"Malaysia",-0.666666666666667,4,"55-64","Eastern & South-Eastern Asia"
233,5,5,5,2,2,2,1,17,3,2,5,26,1,"South Africa",2,5,"35-44","Africa"
234,3,3,3,1,1,0,0,12,6,2,5,27,1,"Spain",0.666666666666667,3,"65-75","Europe"
238,4,4,4,-2,-2,-2,-3,20,6,1,4,3,0,"Australia",-2,4,"65-75","Northern America, Australia & New Zealand"
243,1,1,1,1,2,-1,0,11,6,2,5,3,0,"Australia",0.666666666666667,1,"65-75","Northern America, Australia & New Zealand"
253,5,5,5,0,1,-1,2,3,3,1,5,33,0,"United States of America",0,5,"35-44","Northern America, Australia & New Zealand"
255,4,4,3,-1,-1,-2,-2,20,4,2,5,5,1,"Canada",-1.33333333333333,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
257,4,5,2,1,2,1,0,2,2,1,5,19,1,"Malaysia",1.33333333333333,3.66666666666667,"25-34","Eastern & South-Eastern Asia"
258,1,1,1,0,1,-1,-3,9,3,1,6,19,0,"Malaysia",0,1,"35-44","Eastern & South-Eastern Asia"
259,5,5,5,0,1,-1,-3,5,5,1,2,33,0,"United States of America",0,5,"55-64","Northern America, Australia & New Zealand"
260,3,3,3,-1,1,0,-3,39,6,1,6,33,0,"United States of America",0,3,"65-75","Northern America, Australia & New Zealand"
261,4,2,4,2,2,0,0,1,3,1,4,3,0,"Australia",1.33333333333333,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
263,5,5,4,2,2,2,-2,42,7,2,2,26,0,"South Africa",2,4.66666666666667,"75-85","Africa"
265,5,4,3,2,2,2,1,1,5,2,2,26,0,"South Africa",2,4,"55-64","Africa"
268,4,4,3,-2,-2,-2,-3,47,6,1,6,3,1,"Australia",-2,3.66666666666667,"65-75","Northern America, Australia & New Zealand"
275,4,3,5,1,2,1,-2,19,5,1,6,26,0,"South Africa",1.33333333333333,4,"55-64","Africa"
276,4,4,4,1,1,0,-2,1,5,1,2,26,0,"South Africa",0.666666666666667,4,"55-64","Africa"
277,4,4,4,2,2,2,-3,30,5,2,5,3,0,"Australia",2,4,"55-64","Northern America, Australia & New Zealand"
278,4,4,4,-1,0,-1,-3,34,6,1,2,5,0,"Canada",-0.666666666666667,4,"65-75","Northern America, Australia & New Zealand"
280,5,5,5,-2,2,-2,-3,10,3,1,2,5,1,"Canada",-0.666666666666667,5,"35-44","Northern America, Australia & New Zealand"
281,4,4,4,0,2,0,-3,29,6,1,7,18,0,"Lithuania",0.666666666666667,4,"65-75","Europe"
284,3,3,3,0,-1,-1,-3,0,3,1,5,19,0,"Malaysia",-0.666666666666667,3,"35-44","Eastern & South-Eastern Asia"
286,5,5,5,-2,1,-2,-3,15,4,2,3,5,0,"Canada",-1,5,"45-54","Northern America, Australia & New Zealand"
288,5,5,5,1,1,1,-3,8,3,1,4,26,0,"South Africa",1,5,"35-44","Africa"
290,3,3,5,1,-2,-1,-2,1,4,1,6,33,0,"United States of America",-0.666666666666667,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
291,4,5,2,-1,1,1,-2,24,5,2,4,26,1,"South Africa",0.333333333333333,3.66666666666667,"55-64","Africa"
292,4,4,4,-1,1,-1,2,16,3,1,4,27,0,"Spain",-0.333333333333333,4,"35-44","Europe"
293,5,4,5,0,1,0,-3,30,5,2,5,2,0,"Argentina",0.333333333333333,4.66666666666667,"55-64","South & Central America"
296,4,4,3,0,0,0,-3,19,5,2,2,2,1,"Argentina",0,3.66666666666667,"55-64","South & Central America"
300,3,4,4,1,1,1,-2,20,4,1,2,2,0,"Argentina",1,3.66666666666667,"45-54","South & Central America"
302,3,2,3,0,1,0,-2,20,5,2,5,27,1,"Spain",0.333333333333333,2.66666666666667,"55-64","Europe"
304,5,5,5,1,1,1,-3,13,5,1,6,2,0,"Argentina",1,5,"55-64","South & Central America"
305,5,4,5,0,-1,-1,-2,5,4,1,5,27,0,"Spain",-0.666666666666667,4.66666666666667,"45-54","Europe"
306,5,4,4,2,2,2,-3,23,6,1,5,2,0,"Argentina",2,4.33333333333333,"65-75","South & Central America"
311,4,4,4,-2,-2,-2,-3,9,4,1,6,27,0,"Spain",-2,4,"45-54","Europe"
312,5,4,5,0,2,1,1,11,6,2,5,2,0,"Argentina",1,4.66666666666667,"65-75","South & Central America"
314,3,4,5,1,1,1,-2,10,6,2,3,2,0,"Argentina",1,4,"65-75","South & Central America"
319,4,4,3,2,1,1,-1,0,2,1,5,6,0,"Colombia",1.33333333333333,3.66666666666667,"25-34","South & Central America"
321,5,4,4,-1,1,0,-2,12,3,1,6,2,0,"Argentina",0,4.33333333333333,"35-44","South & Central America"
324,4,5,4,1,1,1,0,5,5,2,2,27,0,"Spain",1,4.33333333333333,"55-64","Europe"
327,4,4,4,1,0,0,-2,5,4,2,5,27,0,"Spain",0.333333333333333,4,"45-54","Europe"
332,4,4,4,1,0,-1,-2,11,3,2,4,2,0,"Argentina",0,4,"35-44","South & Central America"
333,5,5,5,1,2,1,-3,6,5,2,4,27,1,"Spain",1.33333333333333,5,"55-64","Europe"
337,4,3,4,1,1,1,-3,2,2,1,6,27,1,"Spain",1,3.66666666666667,"25-34","Europe"
344,4,3,3,-1,1,-1,-3,22,6,2,3,27,0,"Spain",-0.333333333333333,3.33333333333333,"65-75","Europe"
346,4,4,5,0,2,1,-3,26,5,2,7,2,1,"Argentina",1,4.33333333333333,"55-64","South & Central America"
347,5,2,5,0,2,0,0,14,5,1,5,27,1,"Spain",0.666666666666667,4,"55-64","Europe"
350,5,5,5,-2,2,-2,1,1,3,1,6,27,0,"Spain",-0.666666666666667,5,"35-44","Europe"
352,4,3,4,-1,0,-1,-3,49,6,2,3,10,0,"France",-0.666666666666667,3.66666666666667,"65-75","Europe"
354,3,4,4,1,1,2,3,10,3,2,5,1,1,"Algeria",1.33333333333333,3.66666666666667,"35-44","Africa"
356,5,1,4,-1,-2,-2,-3,3,5,2,6,10,0,"France",-1.66666666666667,3.33333333333333,"55-64","Europe"
358,4,5,5,-2,-2,-2,-3,42,5,1,6,10,0,"France",-2,4.66666666666667,"55-64","Europe"
366,5,2,5,-1,1,0,-3,2,3,2,6,10,0,"France",0,4,"35-44","Europe"
369,4,3,4,-1,-2,-2,-2,3,2,1,6,8,0,"Croatia",-1.66666666666667,3.66666666666667,"25-34","Europe"
370,4,2,5,0,1,0,1,1,2,1,6,8,1,"Croatia",0.333333333333333,3.66666666666667,"25-34","Europe"
372,4,3,5,-1,1,2,-2,1,2,2,2,13,0,"Hungary",0.666666666666667,4,"25-34","Europe"
376,4,4,4,-2,1,-2,-3,9,2,1,7,13,0,"Hungary",-1,4,"25-34","Europe"
384,5,1,5,1,2,1,1,4,1,2,3,14,1,"Indonesia",1.33333333333333,3.66666666666667,"18-24","Eastern & South-Eastern Asia"
385,4,3,3,-1,1,0,1,2,2,2,5,14,1,"Indonesia",0,3.33333333333333,"25-34","Eastern & South-Eastern Asia"
392,2,2,3,-2,-1,-2,-3,34,5,2,4,15,0,"Italy",-1.66666666666667,2.33333333333333,"55-64","Europe"
395,4,4,4,-1,2,0,-3,2,2,1,6,15,0,"Italy",0.333333333333333,4,"25-34","Europe"
397,2,1,1,0,1,0,-3,4,4,1,4,15,1,"Italy",0.333333333333333,1.33333333333333,"45-54","Europe"
401,5,5,5,0,1,0,-3,12,3,1,6,15,0,"Italy",0.333333333333333,5,"35-44","Europe"
402,5,4,5,0,2,0,-3,37,6,2,6,15,1,"Italy",0.666666666666667,4.66666666666667,"65-75","Europe"
404,5,4,4,-1,0,-1,-2,40,6,2,5,15,1,"Italy",-0.666666666666667,4.33333333333333,"65-75","Europe"
408,3,3,3,2,1,1,0,10,5,1,6,15,0,"Italy",1.33333333333333,3,"55-64","Europe"
409,5,5,5,1,1,1,-3,6,5,1,4,15,0,"Italy",1,5,"55-64","Europe"
410,3,3,3,1,1,1,0,16,5,2,4,15,0,"Italy",1,3,"55-64","Europe"
411,3,3,3,0,0,-1,3,13,3,1,6,15,0,"Italy",-0.333333333333333,3,"35-44","Europe"
413,5,5,4,0,1,0,1,44,6,2,6,15,1,"Italy",0.333333333333333,4.66666666666667,"65-75","Europe"
414,4,4,4,1,1,1,1,13,3,2,4,15,1,"Italy",1,4,"35-44","Europe"
417,5,5,5,2,2,2,-2,15,5,2,3,15,0,"Italy",2,5,"55-64","Europe"
418,5,5,5,-2,-1,-2,-3,18,2,2,4,15,1,"Italy",-1.66666666666667,5,"25-34","Europe"
419,4,5,4,1,1,1,-3,1,4,1,4,15,0,"Italy",1,4.33333333333333,"45-54","Europe"
420,4,4,4,1,1,1,-3,36,5,2,4,15,0,"Italy",1,4,"55-64","Europe"
421,5,5,5,1,1,0,-3,36,6,2,7,15,0,"Italy",0.666666666666667,5,"65-75","Europe"
422,3,4,4,1,2,1,1,1,2,2,6,18,0,"Lithuania",1.33333333333333,3.66666666666667,"25-34","Europe"
424,4,4,4,-2,0,-2,-2,4,3,2,6,15,0,"Italy",-1.33333333333333,4,"35-44","Europe"
425,3,3,3,1,1,-1,-2,12,4,1,7,15,1,"Italy",0.333333333333333,3,"45-54","Europe"
427,4,3,4,0,1,-1,3,8,4,2,2,15,0,"Italy",0,3.66666666666667,"45-54","Europe"
428,3,3,3,-1,1,0,0,19,4,1,6,15,0,"Italy",0,3,"45-54","Europe"
431,4,3,5,2,2,2,1,33,5,2,4,15,0,"Italy",2,4,"55-64","Europe"
433,2,2,2,0,1,-1,-2,22,5,2,5,16,1,"Japan",0,2,"55-64","Eastern & South-Eastern Asia"
434,4,4,4,-1,0,-1,-2,17,7,2,5,16,1,"Japan",-0.666666666666667,4,"75-85","Eastern & South-Eastern Asia"
435,3,1,3,1,1,-1,-1,41,6,2,5,16,1,"Japan",0.333333333333333,2.33333333333333,"65-75","Eastern & South-Eastern Asia"
436,3,2,3,0,0,0,0,8,5,2,5,16,1,"Japan",0,2.66666666666667,"55-64","Eastern & South-Eastern Asia"
437,4,4,5,1,2,1,0,11,3,2,5,19,0,"Malaysia",1.33333333333333,4.33333333333333,"35-44","Eastern & South-Eastern Asia"
439,2,2,2,0,1,0,0,3,5,2,2,19,1,"Malaysia",0.333333333333333,2,"55-64","Eastern & South-Eastern Asia"
441,5,5,4,-1,1,-1,-1,3,2,1,6,20,1,"Netherlands",-0.333333333333333,4.66666666666667,"25-34","Europe"
442,4,3,5,0,0,0,-3,28,4,2,5,20,0,"Netherlands",0,4,"45-54","Europe"
443,5,5,5,-2,1,-2,-3,24,5,1,6,20,0,"Netherlands",-1,5,"55-64","Europe"
451,5,3,4,-2,1,-2,-2,8,5,1,7,20,1,"Netherlands",-1,4,"55-64","Europe"
455,4,4,4,0,2,-2,1,10,4,1,6,20,0,"Netherlands",0,4,"45-54","Europe"
456,4,3,5,-2,0,-2,1,13,7,2,4,20,1,"Netherlands",-1.33333333333333,4,"75-85","Europe"
457,3,2,4,-1,0,-2,-3,9,4,2,5,20,0,"Netherlands",-1,3,"45-54","Europe"
458,3,2,4,-2,1,-2,-3,36,4,2,3,20,0,"Netherlands",-1,3,"45-54","Europe"
461,2,3,3,0,1,0,0,3,2,1,6,22,0,"Poland",0.333333333333333,2.66666666666667,"25-34","Europe"
462,3,3,4,-1,0,-1,-3,5,3,1,5,4,0,"Brazil",-0.666666666666667,3.33333333333333,"35-44","South & Central America"
463,5,5,5,1,1,1,2,11,7,1,4,4,1,"Brazil",1,5,"75-85","South & Central America"
464,4,3,4,-2,-2,-2,-3,13,6,2,5,4,0,"Brazil",-2,3.66666666666667,"65-75","South & Central America"
465,5,5,4,0,1,-1,-3,6,4,2,2,4,1,"Brazil",0,4.66666666666667,"45-54","South & Central America"
467,5,4,5,-1,-1,0,-2,23,4,1,5,4,1,"Brazil",-0.666666666666667,4.66666666666667,"45-54","South & Central America"
469,5,2,3,2,2,2,-1,3,4,1,2,4,1,"Brazil",2,3.33333333333333,"45-54","South & Central America"
471,4,3,4,0,1,-1,-3,1,3,1,4,4,0,"Brazil",0,3.66666666666667,"35-44","South & Central America"
477,3,2,4,-1,1,-1,-3,2,2,1,2,4,0,"Brazil",-0.333333333333333,3,"25-34","South & Central America"
479,5,5,3,1,2,1,0,2,4,1,4,4,0,"Brazil",1.33333333333333,4.33333333333333,"45-54","South & Central America"
482,4,4,4,2,2,2,0,3,5,2,6,4,0,"Brazil",2,4,"55-64","South & Central America"
484,5,4,5,2,2,2,-3,10,4,2,2,4,1,"Brazil",2,4.66666666666667,"45-54","South & Central America"
490,5,4,5,2,2,2,3,1,3,2,4,4,0,"Brazil",2,4.66666666666667,"35-44","South & Central America"
494,5,5,5,0,0,-1,-3,13,6,2,3,4,0,"Brazil",-0.333333333333333,5,"65-75","South & Central America"
496,5,5,5,1,2,-1,-3,33,5,1,7,4,1,"Brazil",0.666666666666667,5,"55-64","South & Central America"
497,4,4,5,1,2,1,-3,50,5,2,3,4,NA,"Brazil",1.33333333333333,4.33333333333333,"55-64","South & Central America"
500,4,4,5,1,1,1,-2,14,6,2,5,24,0,"Romania",1,4.33333333333333,"65-75","Europe"
502,5,5,4,-2,-1,-2,-3,1,2,1,6,24,0,"Romania",-1.66666666666667,4.66666666666667,"25-34","Europe"
506,4,4,4,-2,-2,-2,-2,0,2,2,5,24,1,"Romania",-2,4,"25-34","Europe"
509,5,3,3,-1,1,-1,1,7,3,2,3,17,1,"Kazakhstan",-0.333333333333333,3.66666666666667,"35-44","Central and West Asia"
510,5,5,5,2,2,2,0,9,3,2,5,17,0,"Kazakhstan",2,5,"35-44","Central and West Asia"
516,4,2,4,0,1,-1,1,3,4,2,5,25,0,"Russia",0,3.33333333333333,"45-54","Europe"
519,5,5,5,-2,2,-2,-3,6,3,2,4,17,1,"Kazakhstan",-0.666666666666667,5,"35-44","Central and West Asia"
522,5,3,4,-1,0,-1,-3,1,3,2,7,25,0,"Russia",-0.666666666666667,4,"35-44","Europe"
524,4,2,2,0,1,0,-2,6,4,2,2,25,1,"Russia",0.333333333333333,2.66666666666667,"45-54","Europe"
530,4,3,4,1,2,0,-1,9,5,2,5,23,1,"Republic of Serbia",1,3.66666666666667,"55-64","Europe"
531,5,5,5,1,1,0,2,1,5,1,3,23,0,"Republic of Serbia",0.666666666666667,5,"55-64","Europe"
532,3,5,5,-2,-2,-1,-2,11,3,1,5,23,0,"Republic of Serbia",-1.66666666666667,4.33333333333333,"35-44","Europe"
534,4,4,4,1,1,1,-3,2,3,1,3,23,1,"Republic of Serbia",1,4,"35-44","Europe"
537,4,3,4,2,1,1,2,0,4,2,3,23,0,"Republic of Serbia",1.33333333333333,3.66666666666667,"45-54","Europe"
538,4,4,4,0,0,-2,-2,35,5,1,2,23,0,"Republic of Serbia",-0.666666666666667,4,"55-64","Europe"
543,5,5,4,-1,1,-1,-3,1,3,1,6,23,0,"Republic of Serbia",-0.333333333333333,4.66666666666667,"35-44","Europe"
549,5,5,5,0,2,-1,-3,23,5,2,6,29,1,"Turkey",0.333333333333333,5,"55-64","Central and West Asia"
554,5,5,5,1,1,1,-2,5,3,1,6,30,0,"Ukraine",1,5,"35-44","Europe"
